game_id,block,mean_B,ev_consistency,n_participants,ev_diff,ev_max_conflict,ambiguity,reconstruction_method,feedback
1,1,0.4224,0.4224,125,-0.2,False,False,exact,0
1,2,0.5712,0.5712,125,-0.2,False,False,exact,1
1,3,0.568,0.568,125,-0.2,False,False,exact,1
1,4,0.5952,0.5952,125,-0.2,False,False,exact,1
1,5,0.6496,0.6496,125,-0.2,False,False,exact,1
2,1,0.6128,0.6128,125,-0.05,False,False,exact,0
2,2,0.616,0.616,125,-0.05,False,False,exact,1
2,3,0.6208,0.6208,125,-0.05,False,False,exact,1
2,4,0.6384,0.6384,125,-0.05,False,False,exact,1
2,5,0.616,0.616,125,-0.05,False,False,exact,1
5,1,0.4928,0.5072,125,0.2,True,False,exact,0
5,2,0.464,0.536,125,0.2,True,False,exact,1
5,3,0.416,0.584,125,0.2,True,False,exact,1
5,4,0.3824,0.6176,125,0.2,True,False,exact,1
5,5,0.3568,0.6432,125,0.2,True,False,exact,1
6,1,0.3824,0.6176,125,0.05,False,False,exact,0
6,2,0.4016,0.5984,125,0.05,False,False,exact,1
6,3,0.3968,0.6032,125,0.05,False,False,exact,1
6,4,0.424,0.576,125,0.05,False,False,exact,1
6,5,0.4064,0.5936,125,0.05,False,False,exact,1
11,1,0.1328,0.8672,125,3.0,True,False,exact,0
11,2,0.2192,0.7808,125,3.0,True,False,exact,1
11,3,0.208,0.792,125,3.0,True,False,exact,1
11,4,0.1968,0.8032,125,3.0,True,False,exact,1
11,5,0.2064,0.7936,125,3.0,True,False,exact,1
15,1,0.7824,0.7824,125,-18.5,False,False,exact,0
15,2,0.8432,0.8432,125,-18.5,False,False,exact,1
15,3,0.8784,0.8784,125,-18.5,False,False,exact,1
15,4,0.8288,0.8288,125,-18.5,False,False,exact,1
15,5,0.8464,0.8464,125,-18.5,False,False,exact,1
16,1,0.7072,0.7072,125,-17.5,False,False,exact,0
16,2,0.7904,0.7904,125,-17.5,False,False,exact,1
16,3,0.8128,0.8128,125,-17.5,False,False,exact,1
16,4,0.832,0.832,125,-17.5,False,False,exact,1
16,5,0.8304,0.8304,125,-17.5,False,False,exact,1
17,1,0.2384,0.7616,125,4.5,True,False,exact,0
17,2,0.3296,0.6704,125,4.5,True,False,exact,1
17,3,0.3248,0.6752,125,4.5,True,False,exact,1
17,4,0.304,0.696,125,4.5,True,False,exact,1
17,5,0.2896,0.7104,125,4.5,True,False,exact,1
18,1,0.232,0.768,125,5.5,True,False,exact,0
18,2,0.328,0.672,125,5.5,True,False,exact,1
18,3,0.4032,0.5968,125,5.5,True,False,exact,1
18,4,0.3328,0.6672,125,5.5,True,False,exact,1
18,5,0.3328,0.6672,125,5.5,True,False,exact,1
19,1,0.3648,0.6352,125,0.5072,True,False,empirical,0
19,2,0.3872,0.6128,125,0.5072,True,False,empirical,1
19,3,0.3568,0.6432,125,0.5072,True,False,empirical,1
19,4,0.3088,0.6912,125,0.5072,True,False,empirical,1
19,5,0.2976,0.7024,125,0.5072,True,False,empirical,1
20,1,0.376,0.624,125,0.83424,True,False,empirical,0
20,2,0.376,0.624,125,0.83424,True,False,empirical,1
20,3,0.392,0.608,125,0.83424,True,False,empirical,1
20,4,0.3632,0.6368,125,0.83424,True,False,empirical,1
20,5,0.3616,0.6384,125,0.83424,True,False,empirical,1
26,1,0.4992,0.4992,125,-4.6,False,False,exact,0
26,2,0.6528,0.6528,125,-4.6,False,False,exact,1
26,3,0.6112,0.6112,125,-4.6,False,False,exact,1
26,4,0.5968,0.5968,125,-4.6,False,False,exact,1
26,5,0.5456,0.5456,125,-4.6,False,False,exact,1
27,1,0.504,0.504,125,-3.53696,False,False,empirical,0
27,2,0.568,0.568,125,-3.53696,False,False,empirical,1
27,3,0.6,0.6,125,-3.53696,False,False,empirical,1
27,4,0.5776,0.5776,125,-3.53696,False,False,empirical,1
27,5,0.5728,0.5728,125,-3.53696,False,False,empirical,1
28,1,0.9088,0.9088,125,-1.5,False,False,exact,0
28,2,0.8656,0.8656,125,-1.5,False,False,exact,1
28,3,0.8256,0.8256,125,-1.5,False,False,exact,1
28,4,0.8464,0.8464,125,-1.5,False,False,exact,1
28,5,0.8432,0.8432,125,-1.5,False,False,exact,1
29,1,0.9664,0.9664,125,-1.0,False,False,exact,0
29,2,0.9824,0.9824,125,-1.0,False,False,exact,1
29,3,0.9904,0.9904,125,-1.0,False,False,exact,1
29,4,0.9888,0.9888,125,-1.0,False,False,exact,1
29,5,0.9952,0.9952,125,-1.0,False,False,exact,1
30,1,0.9424,0.9424,125,-1.0,False,False,exact,0
30,2,0.9648,0.9648,125,-1.0,False,False,exact,1
30,3,0.9632,0.9632,125,-1.0,False,False,exact,1
30,4,0.976,0.976,125,-1.0,False,False,exact,1
30,5,0.9792,0.9792,125,-1.0,False,False,exact,1
31,1,0.23209876543209876,0.23209876543209876,81,-2.4,False,True,exact,0
31,2,0.30864197530864196,0.30864197530864196,81,-2.4,False,True,exact,1
31,3,0.3432098765432099,0.3432098765432099,81,-2.4,False,True,exact,1
31,4,0.4074074074074074,0.4074074074074074,81,-2.4,False,True,exact,1
31,5,0.3654320987654321,0.3654320987654321,81,-2.4,False,True,exact,1
32,1,0.6814814814814815,0.6814814814814815,81,-5.75,False,False,exact,0
32,2,0.6839506172839506,0.6839506172839506,81,-5.75,False,False,exact,1
32,3,0.674074074074074,0.674074074074074,81,-5.75,False,False,exact,1
32,4,0.6691358024691358,0.6691358024691358,81,-5.75,False,False,exact,1
32,5,0.6864197530864198,0.6864197530864198,81,-5.75,False,False,exact,1
33,1,0.32592592592592595,0.674074074074074,81,4.6,True,False,exact,0
33,2,0.27901234567901234,0.7209876543209877,81,4.6,True,False,exact,1
33,3,0.30617283950617286,0.6938271604938272,81,4.6,True,False,exact,1
33,4,0.24691358024691357,0.7530864197530864,81,4.6,True,False,exact,1
33,5,0.21975308641975308,0.7802469135802469,81,4.6,True,False,exact,1
34,1,0.38765432098765434,0.6123456790123457,81,0.427654,True,False,empirical,0
34,2,0.4469135802469136,0.5530864197530864,81,0.427654,True,False,empirical,1
34,3,0.4271604938271605,0.5728395061728395,81,0.427654,True,False,empirical,1
34,4,0.4123456790123457,0.5876543209876544,81,0.427654,True,False,empirical,1
34,5,0.4024691358024691,0.5975308641975309,81,0.427654,True,False,empirical,1
35,1,0.17530864197530865,0.8246913580246914,81,9.38,True,False,exact,0
35,2,0.08888888888888889,0.9111111111111111,81,9.38,True,False,exact,1
35,3,0.04197530864197531,0.9580246913580247,81,9.38,True,False,exact,1
35,4,0.027160493827160494,0.9728395061728395,81,9.38,True,False,exact,1
35,5,0.04938271604938271,0.9506172839506173,81,9.38,True,False,exact,1
